fsp,ont_id,serial_number,control_flag,run_state,config_state,match_state,protect_side,description
0/ 0/19,2,ROGQPXEVJ8GXEAKW,active,offline,initial,initial,no,The fancy maiden owes.
0/ 0/19,3,9INOY6D9ATMTC1RU,active,offline,initial,initial,no,The mindless astrolabe bears.
0/ 0/19,4,F2HUNXYBGOR9FB57,active,,,,yes,The highfalutin accent swears.
0/ 0/19,5,AMVBM4UQT691SFUS,active,online,normal,mismatch,no,The youthful grape releases.
0/ 0/19,6,27TDN868WNZ2ID48,active,offline,initial,initial,no,The painful pannier sweats.
0/ 0/19,7,FO5KGTXHOGQ7ETK7,active,,,,yes,The phobic infusion communicates.
0/ 0/19,8,7IJUUN4WUKTJFQNS,active,online,normal,mismatch,no,The dazzling fish produces.
0/ 0/19,9,FJ12YDBA1DG2CYIG,active,online,normal,mismatch,no,The erratic dinghy mediates.
0/ 0/19,10,TCLBTY4DXKIB2Y9Z,active,online,normal,mismatch,no,The elite nuke steps.
0/ 0/20,0,OANN9Q9A0Y17RWUP,active,offline,initial,initial,no,The godly moth stimulates.
0/ 0/20,1,Z6R1PEDEWEYLWMUW,active,online,normal,mismatch,no,The fine pigeon learns.
0/ 0/20,2,PJO3ST43TJ7RPT7Y,active,online,normal,mismatch,no,The nonstop custody crawls.
0/ 0/20,3,599QWRK87T64OTMC,active,offline,initial,initial,no,The obtainable policeman wins.
0/ 0/20,4,KJ5AIQWJA68DK5UT,active,online,normal,match,no,The nonchalant citizen overdraws.
0/ 0/20,5,ELN1BJK0S38B9VOA,active,offline,initial,initial,no,The ambitious trillion passes.
0/ 0/20,6,JC4VMNPY34C7VBJS,active,,,,yes,The workable quality consults.
0/ 0/21,0,RX2WRCV3IBTEF8SC,active,online,normal,match,no,The thankful lady pedals.
0/ 0/21,1,GK65JY36WIPI540P,active,,,,yes,The scandalous infection unfastens.
0/ 0/21,2,UZ4RFQ4H00F87W8K,active,,,,yes,The yummy criminal tricks.
0/ 0/21,3,V9WMI70UO9CMUW4N,active,online,normal,mismatch,no,The modern undershirt arbitrates.
0/ 0/21,4,PTRRIFFV0O13UE30,active,,,,yes,The giant bump secures.
0/ 0/21,5,LPR99AYNPMLG30DX,active,offline,initial,initial,no,The puffy design strives.
0/ 0/21,6,WASYN4VNA7HRN77Z,active,offline,initial,initial,no,The heavy abbreviation dusts.
0/ 0/21,7,CNJ725QJ4RBL2FME,active,online,normal,mismatch,no,The huge stud forbids.
0/ 0/21,8,4BJ1QDTLCG8O27QZ,active,offline,initial,initial,no,The loose id wears.
0/ 0/21,9,YD3SNQVOKETGGYZT,active,online,normal,match,no,The hellish campaigning executes.
0/ 0/21,10,BI3WVRRI36IYS71K,active,offline,initial,initial,no,The quick backbone pulls.
0/ 0/21,11,R72SMEICHQE76B5N,active,online,normal,mismatch,no,The screeching turnover synthesizes.
0/ 0/21,12,XG58QNBSP6YTWP4F,active,,,,yes,The habitual proximal retires.
0/ 0/21,13,LYS19OS76ITY7150,active,offline,initial,initial,no,The relieved alligator weaves.
0/ 0/22,0,EQB4P6S6X9E6JIUM,active,,,,yes,The sordid sucker hunts.
0/ 0/22,1,LJDLVZFN9W68ZHYK,active,online,normal,mismatch,no,The nice elixir bets.
0/ 0/22,2,PE53R9I78NX5VK86,active,offline,initial,initial,no,The rampant epauliere rushes.
0/ 0/23,0,S674R09C52EV1ABY,active,,,,yes,The substantial upgrade dams.
0/ 0/23,1,XI65T15FG4E5SNQW,active,offline,initial,initial,no,The impossible minor-league perfects.
0/ 0/23,2,JV3V705BESEM86BV,active,online,normal,mismatch,no,The alcoholic wombat pours.
0/ 0/23,3,243OXUJ7HAN8D4MJ,active,,,,yes,The roomy deal dresses.
0/ 0/23,4,8Q7CQ4GAWVNM604P,active,online,normal,mismatch,no,The successful overcoat repeats.
0/ 0/23,5,KN7M7MLXNGH82Z5Y,active,online,normal,match,no,The garrulous cruise finalizes.
0/ 0/23,6,LFCZX5U42QJAWFNP,active,online,normal,mismatch,no,The utter hole hopes.
0/ 0/23,7,4BLGTTP3ZSEUR5PJ,active,offline,initial,initial,no,The courageous sunlight replaces.
0/ 0/23,8,PFAFZRMK1H6RZQ7Y,active,offline,initial,initial,no,The delicious milepost lasts.
0/ 0/23,9,XF5M4TWA81AD31BO,active,online,normal,match,no,The obnoxious astrakhan brings.
